"sound.files","duration","selec","start","end"
"Parus-major-524612.wav",0.133923639228247,45,31.9874775551878,32.1214011944161
"Parus-major-524612.wav",0.104308963841845,46,32.2725131368165,32.3768221006584
"Parus-major-524612.wav",0.0717917781572339,47,35.6875886129986,35.7593803911559
"Parus-major-524612.wav",0.121089101503365,48,35.9851866220118,36.1062757235151
"Parus-major-524612.wav",0.0717464264338261,49,36.2596099003626,36.3313563267965
"Parus-major-524612.wav",0.128300025525476,50,36.5406545303313,36.6689545558568
"Parus-major-524612.wav",0.0979597225645179,51,36.8160755465972,36.9140352691617
"Parus-major-524612.wav",0.0417689372601515,52,39.8583598563532,39.9001287936134
"Parus-major-524612.wav",0.135919115058272,53,40.1410371483646,40.2769562634229
"Parus-major-524612.wav",0.10544275692709,54,40.4313788816322,40.5368216385593
"Parus-major-524612.wav",0.146123252825404,55,40.7080697461536,40.854192998979
"Parus-major-524612.wav",0.0935606053937974,56,40.9796358659297,41.0731964713235
"Parus-major-524612.wav",0.164082535295563,57,41.2565988407915,41.420681376087
"Parus-major-524612.wav",0.0985492949688407,58,41.5392761328029,41.6378254277717
"Parus-major-524612.wav",0.159365956060981,59,41.8537903346477,42.0131562907087
"Parus-major-524612.wav",0.1016785638841,60,42.15283959881,42.2545181626941
"Parus-major-524612.wav",0.074467529838401,61,46.4849722740556,46.559439803894
"Parus-major-524612.wav",0.153334176847515,62,46.7778990555575,46.931233232405
"Parus-major-524612.wav",0.106395143118682,63,47.0621636578883,47.1685588010069
"Parus-major-524612.wav",0.161316080167587,64,47.3320971156216,47.4934131957892
"Parus-major-524612.wav",0.111202425800094,65,47.6136859662712,47.7248883920713
"Parus-major-524612.wav",0.1656698456149,66,47.8872929136007,48.0529627592156
"Parus-major-524612.wav",0.113333956800332,67,48.16275928159,48.2760932383903
"Parus-major-524612.wav",0.15156545963454,68,48.4594956078583,48.6110610674929
"Parus-major-524612.wav",0.135828411611449,69,48.7448032998275,48.8806317114389
"Parus-major-524612.wav",0.0511567440059153,70,53.2667329375418,53.3178896815477
"Parus-major-524612.wav",0.131111832376867,71,53.5559408777242,53.687052710101
